iter	RMSE
0	0.3875166619
1	0.3761697393
2	0.3667657341
3	0.3562683944
4	0.3467313229
5	0.3379693388
6	0.3284932502
7	0.3196565528
8	0.3116148818
9	0.3047233253
10	0.2973708269
11	0.2907072814
12	0.2837731821
13	0.2781710575
14	0.2722161495
15	0.2661728842
16	0.2601029486
17	0.254679169
18	0.2501680461
19	0.2445000188
20	0.2397536112
21	0.2351379722
22	0.2310490553
23	0.2268516732
24	0.2223639583
25	0.2185540468
26	0.2147191663
27	0.2111739461
28	0.2076273906
29	0.2047570243
30	0.201551179
31	0.1986444942
32	0.1954982437
33	0.1931139709
34	0.1906943752
35	0.1883544996
36	0.1861550486
37	0.1838692934
38	0.1817333007
39	0.1793935404
40	0.1773255777
41	0.1753014409
42	0.1734972976
43	0.1716085136
44	0.1699050366
45	0.1681860016
46	0.1666308826
47	0.1648664117
48	0.1632525882
49	0.1619576659
50	0.1606174917
51	0.1593576611
52	0.1582566829
53	0.1570538844
54	0.1559193047
55	0.15479913
56	0.1539671252
57	0.1528142969
58	0.1517870508
59	0.1507772606
60	0.1497368462
61	0.1488404603
62	0.1480305998
63	0.1471973032
64	0.1462107577
65	0.1453745281
66	0.1443618344
67	0.1437843449
68	0.1428155045
69	0.1421306732
70	0.1411975341
71	0.140444859
72	0.1400791539
73	0.139310833
74	0.1386601604
75	0.137963176
76	0.1373574924
77	0.1368620491
78	0.136200739
79	0.1353935597
80	0.1349242355
81	0.1342444181
82	0.1337551282
83	0.1330396434
84	0.1326161393
85	0.1320101584
86	0.1314170918
87	0.1309589122
88	0.1304833501
89	0.1299995166
90	0.1293544681
91	0.128775794
92	0.1281718727
93	0.1276854005
94	0.1272844714
95	0.1268226381
96	0.1265004673
97	0.1258705396
98	0.1255393099
99	0.125098917
100	0.1246207976
101	0.1240646845
102	0.1237364606
103	0.1233770073
104	0.1229462244
105	0.1226516656
106	0.1222340952
107	0.1217904005
108	0.1214310229
109	0.121049871
110	0.1205913316
111	0.1202877864
112	0.1200570827
113	0.1196975215
114	0.1193079077
115	0.1189804523
116	0.1185924251
117	0.1182848073
118	0.1178933919
119	0.117682578
120	0.1171932788
121	0.1169164947
122	0.1165787666
123	0.1163491137
124	0.1160476271
125	0.1157075971
126	0.1155392979
127	0.1152740134
128	0.115007098
129	0.114786641
130	0.114399025
131	0.1141802599
132	0.1139591361
133	0.1136652086
134	0.1133951037
135	0.1131641886
136	0.1129453304
137	0.1127132689
138	0.1123879901
139	0.1120147082
140	0.1118263954
141	0.1115759986
142	0.1113537653
143	0.11119093
144	0.1108735267
145	0.1106098867
146	0.1104295818
147	0.110177148
148	0.1099321846
149	0.109634669
150	0.1094036383
151	0.1091900545
152	0.1089524402
153	0.1087275896
154	0.1085293073
155	0.1083747355
156	0.1081457542
157	0.1079653494
158	0.1077227227
159	0.1074380573
160	0.1072304494
161	0.1070039833
162	0.1067937855
163	0.1065780618
164	0.1064150772
165	0.1063107915
166	0.1061328476
167	0.1059556443
168	0.1057079357
169	0.1054777471
170	0.1053330725
171	0.105135183
172	0.1049143279
173	0.1047918701
174	0.1046339664
175	0.104459726
176	0.1043242432
177	0.1041267809
178	0.1039573899
179	0.1038310156
180	0.1035796401
181	0.1033884888
182	0.1032042837
183	0.103048198
184	0.1028717657
185	0.1027906845
186	0.1026070609
187	0.1024145983
188	0.1022009574
189	0.1020006697
190	0.101744408
191	0.1016374926
192	0.1015358688
193	0.1012924249
194	0.1011426157
195	0.1010374984
196	0.1008773999
197	0.1007166033
198	0.1005558564
199	0.1003626572
200	0.1002072875
201	0.1000651704
202	0.09993674823
203	0.09986672309
204	0.09969650706
205	0.09959824771
206	0.09944625293
207	0.09929402276
208	0.0990904064
209	0.09894144247
210	0.09882800815
211	0.09878016983
212	0.09873063645
213	0.09863142164
214	0.09849599074
215	0.09838358964
216	0.09833581981
217	0.09814166893
218	0.09799921428
219	0.09795304769
220	0.09783359188
221	0.09767605121
222	0.09747994579
223	0.09737085211
224	0.09724366897
225	0.09714566584
226	0.09700732199
227	0.09691578515
228	0.09679757292
229	0.09673329527
230	0.09665547545
231	0.09659971785
232	0.09650923761
233	0.09638262892
234	0.09625117485
235	0.09608977176
236	0.09597083148
237	0.09580967983
238	0.09567709511
239	0.09554260428
240	0.09537446925
241	0.09522648289
242	0.09517795247
243	0.0950942945
244	0.09497131552
245	0.09493393244
246	0.09478944362
247	0.09465665296
248	0.09457766015
249	0.09454292002
250	0.09443154183
251	0.09429175944
252	0.09415689407
253	0.09405593708
254	0.09399899788
255	0.09389634889
256	0.09383135945
257	0.09373049184
258	0.09360458959
259	0.09354393796
260	0.09341783626
261	0.09327527642
262	0.09316775014
263	0.09312996332
264	0.09307037607
265	0.09290081556
266	0.09283289927
267	0.09279297117
268	0.09267076582
269	0.09256925534
270	0.09245773817
271	0.09232687551
272	0.09216667382
273	0.09203698058
274	0.09195181982
275	0.09191781677
276	0.09183642342
277	0.09169537813
278	0.09158288068
279	0.09153010531
280	0.09149367847
281	0.0913434379
282	0.09128781977
283	0.0911689136
284	0.0911383262
285	0.09102889936
286	0.09100515996
287	0.09097354127
288	0.09079033047
289	0.09076467929
290	0.09066441459
291	0.09055795961
292	0.0904482224
293	0.09028839845
294	0.09019838732
295	0.09008942103
296	0.09006814644
297	0.08995981848
298	0.08982753989
299	0.08976405661
300	0.08965445069
301	0.0895809996
302	0.0894829308
303	0.08946268703
304	0.08935929963
305	0.0892692296
306	0.08917758749
307	0.0890104678
308	0.0888747911
309	0.08878327881
310	0.08870759801
311	0.08866269058
312	0.08859895279
313	0.08857053433
314	0.08843344475
315	0.08831449332
316	0.08817311921
317	0.08807806124
318	0.08804856314
319	0.08795006647
320	0.08786255868
321	0.08784139447
322	0.08772584086
323	0.08764411699
324	0.08756080073
325	0.08747465554
326	0.08737171571
327	0.08734909304
328	0.08723106893
329	0.08712019264
330	0.08705893035
331	0.08697192625
332	0.08695293811
333	0.08683865617
334	0.08674737201
335	0.08668337921
336	0.08661450156
337	0.08649518729
338	0.08643503527
339	0.08640000687
340	0.08634266112
341	0.08621591481
342	0.08611549582
343	0.08603217069
344	0.08593933928
345	0.08591918532
346	0.08581097299
347	0.08576288358
348	0.08566146828
349	0.08555445619
350	0.08547637043
351	0.08538349835
352	0.08529318006
353	0.08524885898
354	0.08519185669
355	0.0851360573
356	0.0851219893
357	0.08504532987
358	0.08499749635
359	0.08498387051
360	0.08492751929
361	0.0848439396
362	0.0847628862
363	0.08469229323
364	0.08459256764
365	0.08447625504
366	0.08443221785
367	0.08436614016
368	0.08429824407
369	0.08420660375
370	0.08408900602
371	0.08406946169
372	0.08398304639
373	0.08389204983
374	0.0837576157
375	0.08368024635
376	0.083572435
377	0.08349794999
378	0.08337281616
379	0.08330667237
380	0.08324540288
381	0.08321040207
382	0.08316022233
383	0.08307426755
384	0.08301395327
385	0.08294639921
386	0.08292753103
387	0.08290446311
388	0.0828305677
389	0.08276361959
390	0.08259980525
391	0.08258748802
392	0.082548761
393	0.08250643845
394	0.08240036961
395	0.08232597555
396	0.08224991535
397	0.08214221322
398	0.0820994586
399	0.08200385012
400	0.08194180129
401	0.08189875848
402	0.08188190614
403	0.08181494689
404	0.0817999947
405	0.08170451834
406	0.08167850243
407	0.08160925992
408	0.0815408236
409	0.08142486748
410	0.08132804775
411	0.08125140251
412	0.0811745768
413	0.0810806457
414	0.08102971352
415	0.08095131222
416	0.08093660496
417	0.08086542855
418	0.08079397182
419	0.08073070357
420	0.08067383224
421	0.08063470654
422	0.08055161497
423	0.0804926561
424	0.08044670958
425	0.08039690933
426	0.08030269138
427	0.08019140645
428	0.08014688966
429	0.08009045328
430	0.08000023481
431	0.07987068502
432	0.07978179928
433	0.07972343503
434	0.07968578689
435	0.0796244375
436	0.07947924747
437	0.07937345966
438	0.07929093649
439	0.07925061921
440	0.0791892791
441	0.07912231059
442	0.07905750759
443	0.07898569172
444	0.07894518442
445	0.0788695851
446	0.078800201
447	0.07876485312
448	0.07872702043
449	0.07865481764
450	0.07858628609
451	0.07853261563
452	0.07845447569
453	0.07841027447
454	0.07839815103
455	0.07831900226
456	0.07828299738
457	0.07824987345
458	0.07822359626
459	0.07817656955
460	0.07811824956
461	0.07806508562
462	0.0780312542
463	0.07795832295
464	0.07789331483
465	0.07783888469
466	0.07777716807
467	0.07773820681
468	0.07769022078
469	0.07764504623
470	0.07756765031
471	0.0774827079
472	0.07741105394
473	0.07734870426
474	0.07725840245
475	0.07719031546
476	0.07714542376
477	0.07707833239
478	0.0769582115
479	0.0768882729
480	0.07682672473
481	0.0767601295
482	0.07672660284
483	0.07666434243
484	0.07660107554
485	0.07651764186
486	0.07646112007
487	0.07639418749
488	0.07636239849
489	0.07627531484
490	0.07620758184
491	0.07615274181
492	0.07613383616
493	0.07604811893
494	0.07594780565
495	0.07588663156
496	0.07587182505
497	0.07580183639
498	0.07578802778
499	0.07569591688
500	0.07566646549
501	0.07557523684
502	0.07556202984
503	0.07551041471
504	0.07547710664
505	0.07543065935
506	0.07541075427
507	0.07535277281
508	0.07527795713
509	0.07526123205
510	0.07518805565
511	0.07512521094
512	0.07501144358
513	0.07494279314
514	0.07492063156
515	0.0748249392
516	0.07479491006
517	0.07474063018
518	0.07468460932
519	0.07463256332
520	0.07458843774
521	0.0745693321
522	0.07448834111
523	0.0744355363
524	0.07435251404
525	0.07433203162
526	0.0742494838
527	0.07418079458
528	0.07416430093
529	0.07415044856
530	0.07408342803
531	0.07407375524
532	0.07402425774
533	0.07399536459
534	0.07392879516
535	0.07388227466
536	0.07382772458
537	0.07375314757
538	0.07369717403
539	0.07359569526
540	0.07351748453
541	0.0734461941
542	0.07343411484
543	0.07336800315
544	0.07329019059
545	0.07326765525
546	0.07320499856
547	0.07311131536
548	0.07304780258
549	0.07301858564
550	0.07294948488
551	0.07286857869
552	0.07278295209
553	0.07272737102
554	0.07268576682
555	0.07263790659
556	0.07261147426
557	0.07256445651
558	0.0724697203
559	0.07240160152
560	0.07233080306
561	0.07224693779
562	0.07220656037
563	0.07216850606
564	0.07210070878
565	0.07208869344
566	0.07204994046
567	0.07196664517
568	0.07188680194
569	0.07183621288
570	0.07175987433
571	0.07173350451
572	0.07168663176
573	0.0715952724
574	0.07158154552
575	0.07154821793
576	0.07148759084
577	0.071456026
578	0.07143650978
579	0.07136374968
580	0.07130039321
581	0.07126737999
582	0.07124662094
583	0.07116776751
584	0.07111081781
585	0.07109757519
586	0.07106447143
587	0.07100626655
588	0.07094085775
589	0.07086860631
590	0.0708044363
591	0.07071912838
592	0.07068408691
593	0.07062583857
594	0.07057915852
595	0.07052774973
596	0.07051168284
597	0.07047389149
598	0.07040171765
599	0.07035662574
600	0.07027681878
601	0.07024713594
602	0.07020492683
603	0.07017935262
604	0.07014275715
605	0.07012732395
606	0.07005671501
607	0.06997681929
608	0.06996379996
609	0.06995163868
610	0.0699308814
611	0.06987337646
612	0.06984425877
613	0.06979805436
614	0.06976491173
615	0.06973215368
616	0.06972248118
617	0.06967173616
618	0.06960528509
619	0.06953704725
620	0.06948156696
621	0.06940962932
622	0.06939558093
623	0.06930016494
624	0.06922726522
625	0.06918026027
626	0.06910878869
627	0.06904062073
628	0.06897885915
629	0.06891506072
630	0.06888265607
631	0.0688108052
632	0.06876886618
633	0.06873458102
634	0.06870991172
635	0.06865841799
636	0.06863632571
637	0.06857663509
638	0.06851968975
639	0.0685005692
640	0.06843752691
641	0.06836780778
642	0.06831712005
643	0.06827230201
644	0.06821310739
645	0.06816687875
646	0.06814835691
647	0.06809021421
648	0.06803813229
649	0.06796528623
650	0.06792741529
651	0.06784916791
652	0.0677948474
653	0.06772729534
654	0.06766007951
655	0.06763442707
656	0.06757282484
657	0.06753493283
658	0.06749949052
659	0.06743727761
660	0.06738317373
661	0.06732890434
662	0.06731057402
663	0.06730056449
664	0.06723301564
665	0.06717158362
666	0.06710753691
667	0.06705329078
668	0.06702426702
669	0.06701019348
670	0.06691823417
671	0.06688146313
672	0.06684431295
673	0.06676833475
674	0.06674123226
675	0.0667140604
676	0.06666516851
677	0.06659534286
678	0.06656464932
679	0.0664991249
680	0.06643767596
681	0.0663711566
682	0.06635643761
683	0.06629680862
684	0.06627884283
685	0.06625661812
686	0.06616367213
687	0.06608828038
688	0.06605164168
689	0.06598646728
690	0.06595464859
691	0.06594686229
692	0.06593962335
693	0.06588599126
694	0.06586042689
695	0.06581524248
696	0.06577126971
697	0.06571905811
698	0.06565532504
699	0.06558829758
700	0.06557893563
701	0.06556176387
702	0.06554585725
703	0.06549818353
704	0.06545774856
705	0.06541506036
706	0.06540858394
707	0.06539943421
708	0.06535139651
709	0.06532774927
710	0.06528299897
711	0.06525610191
712	0.06517988682
713	0.06513202304
714	0.06509503638
715	0.06506215609
716	0.06500598657
717	0.0649997108
718	0.06497915143
719	0.06491542487
720	0.0648638802
721	0.06482213236
722	0.06476244833
723	0.06474581433
