iter	Passed	Remaining
403	8979	13247
404	8998	13220
405	9017	13193
406	9037	13167
407	9055	13139
408	9077	13116
409	9097	13091
410	9118	13067
411	9138	13042
412	9160	13020
413	9182	12997
414	9203	12973
415	9223	12949
416	9243	12923
417	9265	12900
418	9285	12875
419	9304	12849
420	9324	12824
421	9344	12798
422	9363	12772
423	9383	12746
424	9401	12719
425	9421	12694
426	9440	12667
427	9460	12643
428	9481	12620
429	9502	12596
430	9523	12573
431	9545	12551
432	9565	12525
433	9586	12502
434	9605	12475
435	9624	12449
436	9643	12423
437	9662	12397
438	9681	12371
439	9701	12347
440	9720	12321
441	9739	12295
442	9758	12269
443	9777	12243
444	9797	12219
445	9817	12195
446	9841	12175
447	9863	12152
448	9883	12129
449	9905	12106
450	9926	12083
451	9948	12061
452	9968	12036
453	9987	12011
454	10006	11986
455	10025	11959
456	10045	11936
457	10065	11911
458	10085	11887
459	10105	11862
460	10124	11837
461	10143	11811
462	10162	11786
463	10181	11761
464	10201	11736
465	10219	11710
466	10237	11684
467	10258	11660
468	10277	11635
469	10297	11612
470	10317	11588
471	10338	11565
472	10359	11542
473	10381	11520
474	10401	11495
475	10421	11472
476	10441	11448
477	10462	11426
478	10482	11401
479	10501	11376
480	10520	11351
481	10539	11326
482	10559	11302
483	10579	11278
484	10599	11254
485	10621	11233
486	10643	11211
487	10663	11187
488	10686	11166
489	10707	11144
490	10726	11119
491	10744	11093
492	10763	11069
493	10782	11044
494	10805	11024
495	10828	11003
496	10849	10980
497	10871	10959
498	10893	10936
499	10912	10912
500	10932	10888
501	10951	10864
502	10970	10839
503	10988	10814
504	11007	10789
505	11026	10764
506	11044	10739
507	11063	10714
508	11081	10689
509	11101	10666
510	11122	10643
511	11142	10620
512	11162	10596
513	11183	10574
514	11204	10551
515	11224	10528
516	11244	10505
517	11265	10482
518	11284	10458
519	11304	10434
520	11323	10410
521	11350	10394
522	11370	10370
523	11390	10347
524	11410	10323
525	11430	10300
526	11451	10278
527	11470	10254
528	11491	10231
529	11511	10208
530	11529	10183
531	11548	10159
532	11569	10136
533	11588	10113
534	11609	10090
535	11628	10066
536	11648	10043
537	11668	10019
538	11689	9997
539	11710	9975
540	11731	9953
541	11751	9930
542	11772	9908
543	11792	9885
544	11829	9875
545	11848	9851
546	11866	9827
547	11887	9805
548	11908	9782
549	11930	9761
550	11951	9739
551	11973	9717
552	11997	9697
553	12017	9675
554	12037	9651
555	12059	9630
556	12078	9606
557	12097	9582
558	12117	9559
559	12135	9535
560	12155	9511
561	12175	9489
562	12196	9466
563	12216	9444
564	12236	9421
565	12258	9399
566	12280	9377
567	12300	9355
568	12320	9332
569	12339	9308
570	12358	9284
571	12376	9260
572	12396	9237
573	12414	9213
574	12433	9189
575	12453	9166
576	12471	9142
577	12492	9120
578	12512	9098
579	12532	9075
580	12553	9052
581	12572	9029
582	12592	9006
583	12612	8984
584	12633	8962
585	12652	8938
586	12674	8917
587	12696	8896
588	12717	8873
589	12737	8851
590	12757	8828
