iter	Logloss
0	0.5014983085
1	0.365795257
2	0.2891723439
3	0.2355612703
4	0.2005927805
5	0.1706821084
6	0.1553061666
7	0.1413207311
8	0.1257569283
9	0.1171388814
10	0.1063745492
11	0.09795813981
12	0.08954834163
13	0.08395476618
14	0.08031330818
15	0.07539183234
16	0.07065323342
17	0.06662063681
18	0.06347355421
19	0.05980087897
20	0.05601480728
21	0.05455496383
22	0.05192913212
23	0.04963403597
24	0.04646714945
25	0.04474775783
26	0.04273952393
27	0.04116699379
28	0.0387811186
29	0.03778617637
30	0.0356834388
31	0.03441948181
32	0.03285097496
33	0.03199702715
34	0.03056093478
35	0.02865973939
36	0.02762398932
37	0.02635241158
38	0.02524524445
39	0.02373164375
40	0.02303607815
41	0.02184303676
42	0.02109670249
43	0.01972532261
44	0.01902013673
45	0.01825658822
46	0.0179085682
47	0.01690918052
48	0.01619316357
49	0.01561056828
50	0.0147251532
51	0.01425348671
52	0.01367390588
53	0.01320252258
54	0.01262038372
55	0.01205648754
56	0.01180122058
57	0.01143119045
58	0.01102771671
59	0.01068869421
60	0.01034586992
61	0.01007164027
62	0.009750227477
63	0.009478834098
64	0.009304857116
65	0.009180336734
66	0.008852974927
67	0.008581147591
68	0.008349572746
69	0.008163139734
70	0.007943062396
71	0.007518083885
72	0.007336465835
73	0.007100523752
74	0.006977026917
75	0.006823677722
76	0.006694918872
77	0.00661115674
78	0.00647583392
79	0.006358655984
80	0.006198872931
81	0.006117219014
82	0.006011489196
83	0.005877497172
84	0.005757741531
85	0.005624144057
86	0.005508006547
87	0.00534221793
88	0.005184142333
89	0.00509239529
90	0.00503866008
91	0.004897157179
92	0.004812157033
93	0.004718024304
94	0.004641874015
95	0.00457373378
96	0.004397668987
97	0.004311298036
98	0.004252025383
99	0.004178797118
100	0.004078987928
101	0.00395497415
102	0.003881434115
103	0.003844681239
104	0.003762644306
105	0.003666248545
106	0.003573283473
107	0.003520022268
108	0.003483173214
109	0.003415436486
110	0.00336237375
111	0.003298223738
112	0.003222649159
113	0.003107861173
114	0.003084340434
115	0.003020731477
116	0.002962354252
117	0.002919014136
118	0.002902095832
119	0.002784596802
120	0.002757118642
121	0.002747657432
122	0.002682748425
123	0.00266303676
124	0.002624796633
125	0.002591596702
126	0.002538333253
127	0.00247196337
128	0.002425319121
129	0.002405510382
130	0.002393318496
131	0.002377148775
132	0.002335355129
133	0.002311327607
134	0.002311343558
135	0.00230099373
136	0.002277131649
137	0.002239059467
138	0.002239059467
139	0.002202311627
140	0.002179179177
141	0.002171706931
142	0.002127164078
143	0.002093558525
144	0.002093529733
145	0.002079067394
146	0.002043281403
147	0.0020245802
148	0.001993362057
149	0.001970623973
